PORTLAND OTHER CITIES
================================================================================

   1. United States                                                (164)
   2. Oregon, USA                                                  (160)
   3. USA                                                          ( 94)
   4. Oregon                                                       ( 57)
   5. Florida, USA                                                 ( 35)
   6. Texas, USA                                                   ( 32)
   7. PNW                                                          ( 31)
   8. California, USA                                              ( 23)
   9. Washington, USA                                              ( 22)
  10. Idaho, USA                                                   ( 19)
  11. Seattle, WA                                                  ( 17)
  12. Texas                                                        ( 15)
  13. San Francisco, CA                                            ( 15)
  14. San Antonio,Republic of Texas                                ( 15)
  15. SociallyDistant rd.Oregon, USA                               ( 14)
  16. Arizona, USA                                                 ( 14)
  17. Chile                                                        ( 14)
  18. Sixth generation Oregonian                                   ( 13)
  19. Los Angeles, CA                                              ( 13)
  20. Global                                                       ( 12)
  21. Vancouver, WA                                                ( 12)
  22. Coit Tower, San Francisco                                    ( 12)
  23. Houston, TX                                                  ( 12)
  24. Maine, USA                                                   ( 12)
  25. A rainy place                                                ( 12)
  26. Canada                                                       ( 11)
  27. PDX                                                          ( 11)
  28. Toronto, Ontario                                             ( 11)
  29. Pennsylvania, USA                                            ( 11)
  30. Earth                                                        ( 11)
  31. Wisconsin, USA                                               ( 10)
  32. Maine                                                        ( 10)
  33. Oakville, Ontario                                            ( 10)
  34. Pacific Northwest                                            (  9)
  35. Miami, FL                                                    (  9)
  36. Illinois, USA                                                (  9)
  37. San Diego, CA                                                (  8)
  38. California                                                   (  8)
  39. NW  North America                                            (  8)
  40. Cesspool                                                     (  8)
  41. New York, USA                                                (  8)
  42. Virginia, USA                                                (  8)
  43. Georgia, USA                                                 (  8)
  44. Ohio, USA                                                    (  8)
  45. Indiana, USA                                                 (  8)
  46. North Carolina, USA                                          (  8)
  47. Austin, TX                                                   (  7)
  48. California Refugee. Oregon                                   (  7)
  49. Las Vegas, NV                                                (  7)
  50. Tennessee, USA                                               (  7)
  51. Manhattan, NY                                                (  7)
  52. US                                                           (  7)
  53. Dallas, TX                                                   (  7)
  54. The other side of the wall                                   (  7)
  55. Sublimity, OR                                                (  7)
  56. Oklahoma, USA                                                (  7)
  57. Orlando, FL                                                  (  7)
  58. Mexico                                                       (  7)
  59. OreGONE                                                      (  7)
  60. Everywhere                                                   (  7)
  61. Wooley Swamp in Booger Woods                                 (  6)
  62. parts unkown                                                 (  6)
  63. Bend, Oregon                                                 (  6)
  64. Ohio                                                         (  6)
  65. Colorado, USA                                                (  6)
  66. Arizona                                                      (  6)
  67. Mississippi, USA                                             (  6)
  68. West coast                                                   (  6)
  69. Seattle                                                      (  6)
  70. Northwest                                                    (  5)
  71. Noneya                                                       (  5)
  72. Really Lost in Oregon                                        (  5)
  73. America                                                      (  5)
  74. India                                                        (  5)
  75. Minnesota                                                    (  5)
  76. TX                                                           (  5)
  77. San Francisco Bay Area                                       (  5)
  78. Chicago, IL                                                  (  5)
  79. Los Angeles                                                  (  5)
  80. Olympia, WA                                                  (  5)
  81. Florida                                                      (  5)
  82. Arizona                                                      (  5)
  83. CA                                                           (  5)
  84. Earth Somewhere                                              (  5)
  85. Kenton Neighborhood, North PDX                               (  5)
  86. North Georgia                                                (  5)
  87. St Paul, MN                                                  (  4)
  88. Venice, Los Angeles                                          (  4)
  89. St. Louis, MO                                                (  4)
  90. Mount Etna                                                   (  4)
  91. Clown World                                                  (  4)
  92. Siberia                                                      (  4)
  93. Alaska, USA                                                  (  4)
  94. Denver, CO                                                   (  4)
  95. Chicago                                                      (  4)
  96. USA ! USA! USA!                                              (  4)
  97. Wilsonville, Or.                                             (  4)
  98. Michigan, USA                                                (  4)
  99. Odessa, FL                                                   (  4)
 100. Calgary, Alberta                                             (  4)
 101. Beaverton, OR                                                (  4)
 102. England                                                      (  4)
 103. New Jersey, USA                                              (  4)
 104. Southern California                                          (  4)
 105. Washington State                                             (  4)
 106. No porn 🚫                                                    (  4)
 107. Charlotte, NC                                                (  4)
 108. Pensacola, FL                                                (  4)
 109. Villages of Mt. Hood, Oregon                                 (  4)
 110. London, England                                              (  4)
 111. United States of America                                     (  4)
 112. Colorado Michigan                                            (  4)
 113. Jamaica                                                      (  4)
 114. Western USA                                                  (  4)
 115. Southern, Oregon 🌲                                           (  4)
 116. Walla Walla, WA                                              (  4)
 117. The American Pacific Northwest                               (  4)
 118.  Washington                                                  (  3)
 119. USA                                                          (  3)
 120. San Antonio, TX                                              (  3)
 121. Honolulu, HI                                                 (  3)
 122. Virginia                                                     (  3)
 123. South Florida                                                (  3)
 124. New South Wales, Australia                                   (  3)
 125. Indiana                                                      (  3)
 126. Flat Earth                                                   (  3)
 127. Birmingham, AL                                               (  3)
 128. Massachusetts, USA                                           (  3)
 129. Central Oregon                                               (  3)
 130. Petting a cat somewhere                                      (  3)
 131. Colorado                                                     (  3)
 132. Maryland, USA                                                (  3)
 133. Boston, MA                                                   (  3)
 134. NY                                                           (  3)
 135. San Francisco                                                (  3)
 136. Manhattan, NY                                                (  3)
 137. Kansas City, MO                                              (  3)
 138. U.S.A                                                        (  3)
 139. FL                                                           (  3)
 140. Sedalia, MO                                                  (  3)
 141. Goodyear, AZ                                                 (  3)
 142. Tennessee                                                    (  3)
 143. In the meadow, USA 🇺🇸🇺🇸                                      (  3)
 144. Killeen, TX                                                  (  3)
 145. Minnesota, USA                                               (  3)
 146. Fort Worth, TX                                               (  3)
 147. Bharat                                                       (  3)
 148. South Dakota, USA                                            (  3)
 149. Wa State, mid western part                                   (  3)
 150. Philadelphia, PA                                             (  3)
 151. Pittsburgh, PA                                               (  3)
 152. Bottle Drop Alley PDX                                        (  3)
 153. EARTH                                                        (  3)
 154. 🇺🇸                                                           (  3)
 155. Louisiana, USA                                               (  3)
 156. California                                                   (  3)
 157. Tulsa, OK                                                    (  3)
 158. McKinney, TX                                                 (  3)
 159. PNW, Oregon ☔                                                (  3)
 160. Clive, IA 50325, USA                                         (  3)
 161. Phoenix, AZ                                                  (  3)
 162. New Orleans, LA                                              (  3)
 163. Venezuela!                                                   (  3)
 164. Twin cities                                                  (  3)
 165. Pennsylvania                                                 (  3)
 166. Sarasota, FL                                                 (  3)
 167. Vancouver, WA USA                                            (  3)
 168. Oregon Southern Coast                                        (  3)
 169. Atlanta                                                      (  3)
 170. Oregon                                                       (  3)
 171. Salem, OR                                                    (  3)
 172. New York                                                     (  3)
 173. Damascus, OR                                                 (  3)
 174. Atlanta, GA                                                  (  3)
 175. 🌘Skylandia🌒                                                  (  3)
 176. Pacific North West                                           (  3)
 177. Eastern Oregon                                               (  3)
 178. NYC/NJ                                                       (  3)
 179. Multnomah County, OR                                         (  3)
 180. Oakland, CA                                                  (  2)
 181. Phoenix, Arizona                                             (  2)
 182. Southern Oregon                                              (  2)
 183. Houston                                                      (  2)
 184. Gresham, OR                                                  (  2)
 185. Gilbert, AZ                                                  (  2)
 186. EVERYWHERE                                                   (  2)
 187. Hillsboro, OR                                                (  2)
 188. Oregon. Thanks for visiting.                                 (  2)
 189. OR                                                           (  2)
 190. Floating on a river                                          (  2)
 191. Southern Oregon Jackson County                               (  2)
 192. Kentucky, USA                                                (  2)
 193. Pac NW                                                       (  2)
 194. Blood Soaked, Stolen Land                                    (  2)
 195. Usa                                                          (  2)
 196. Baltimore, MD                                                (  2)
 197. Alberta, Canada                                              (  2)
 198. Tacoma, WA                                                   (  2)
 199. State Of Lincoln                                             (  2)
 200. West Coast                                                   (  2)
 201. Illinois                                                     (  2)
 202. New Hampshire, USA                                           (  2)
 203. Las Vegas                                                    (  2)
 204. Boardman, OH                                                 (  2)
 205. Wyoming, USA                                                 (  2)
 206. Santiago de León de Caracas                                  (  2)
 207. Wisconsin                                                    (  2)
 208. South Jersey                                                 (  2)
 209. Down Under.                                                  (  2)
 210. 🇨🇦                                                           (  2)
 211. Idaho                                                        (  2)
 212. Canada                                                       (  2)
 213. Clatskanie, Oregon                                           (  2)
 214. Greenville, SC                                               (  2)
 215. Bakersfield, CA                                              (  2)
 216. Arkansas                                                     (  2)
 217. Florida                                                      (  2)
 218. Hyderabad, India                                             (  2)
 219. New Jersey                                                   (  2)
 220. The Swamp - Washington DC                                    (  2)
 221. Idleyld Park, OR                                             (  2)
 222. Guadalajara, Jalisco                                         (  2)
 223. Nevada, USA                                                  (  2)
 224. Omaha, NE                                                    (  2)
 225. Utah                                                         (  2)
 226. Connecticut, USA                                             (  2)
 227. who cares                                                    (  2)
 228. अखंड भारत                                                    (  2)
 229. भारत                                                         (  2)
 230. New Hill, NC                                                 (  2)
 231.  CA                                                          (  2)
 232. California & Nationwide                                      (  2)
 233. None of your business                                        (  2)
 234. Port Angeles, WA                                             (  2)
 235. England, United Kingdom                                      (  2)
 236. Spring, TX                                                   (  2)
 237. Oklahoma City, OK                                            (  2)
 238. Washington                                                   (  2)
 239. Melbourne, Australia                                         (  2)
 240. Boise, ID                                                    (  2)
 241. Germany                                                      (  2)
 242. Waiting for the Rapture                                      (  2)
 243. Halifax, Nova Scotia                                         (  2)
 244. 10048 WTC Site USA                                           (  2)
 245. Louisiana, USA MAGA PROUD                                    (  2)
 246. Commie state of Illinois                                     (  2)
 247. AZ                                                           (  2)
 248. NC                                                           (  2)
 249. Following the Aurora Borealis                                (  2)
 250. BC MICH                                                      (  2)
 251. One Nation, Under God                                        (  2)
 252. Colorado Springs, CO                                         (  2)
 253. Rocky Top                                                    (  2)
 254. Buda, TX                                                     (  2)
 255. Philadelphia, Pennsylvania                                   (  2)
 256. Eagle, ID                                                    (  2)
 257. Tucson, AZ                                                   (  2)
 258. Cleveland, OH                                                (  2)
 259. The Boot!                                                    (  2)
 260. Destin, FL                                                   (  2)
 261. South Carolina, USA                                          (  2)
 262. Tracy, MN 56175                                              (  2)
 263. Bronx, NY                                                    (  2)
 264. Australia                                                    (  2)
 265. Fort Myers Beach, FL                                         (  2)
 266. Hedgesville, WV                                              (  2)
 267. Roseburg, OR                                                 (  2)
 268. Louisiana                                                    (  2)
 269. middle of nowhere                                            (  2)
 270. Gulf of America, Florida                                     (  2)
 271. Magadonia, FL  GAB: @r363ll10n                               (  2)
 272. Commiefornia                                                 (  2)
 273. The Costal Bend , Texas                                      (  2)
 274. 🇺🇸                                                           (  2)
 275. Pocatello, ID                                                (  2)
 276. Route 66 & Hwy 61                                            (  2)
 277. Grants Pass, OR                                              (  2)
 278. Olympia USA                                                  (  2)
 279. Western Oregon                                               (  2)
 280. The Couve                                                    (  2)
 281. Corrupt, Maine 🇺🇸                                            (  2)
 282. Washington DC                                                (  2)
 283. NYC                                                          (  2)
 284. London                                                       (  2)
 285. New Mexico, USA                                              (  2)
 286. Las Vegas                                                    (  2)
 287. Utah, USA                                                    (  2)
 288. Southern Illinois                                            (  2)
 289. Worldwide                                                    (  2)
 290. Maryland                                                     (  2)
 291. La Jolla, CA                                                 (  2)
 292. 👉⛔🚫NO DMs🚫⛔👈                                                 (  2)
 293. PLANET EARTH                                                 (  2)
 294. 4th World Apokolips                                          (  2)
 295. Roskilde, Danmark                                            (  2)
 296. Paris, France                                                (  2)
 297. Detroit, MI                                                  (  2)
 298. Mossel Bay, South Africa                                     (  2)
 299. Minneapolis, MN                                              (  2)
 300. Kekistan                                                     (  2)
 301.  USA                                                         (  2)
 302. Fraser Valley                                                (  2)
 303. The world that never was                                     (  2)
 304. Rational Remnant, USA                                        (  2)
 305. Middle of Nowhere                                            (  2)
 306. My Rumble Account (not porn!)                                (  2)
 307. DSM, Iowa City, Dallas, COMO,                                (  2)
 308. On diverse inclusive culture,                                (  2)
 309. Gem State 👑                                                  (  2)
 310. Washington, D.C.                                             (  2)
 311. Newberg, OR                                                  (  2)
 312. United States of Democracy                                   (  2)
 313. El Dorado County, CA                                         (  2)
 314. Bend, OR                                                     (  2)
 315. Rose City, baby                                              (  2)
 316. Long Beach, CA                                               (  2)
 317. Southern Oregon USA                                          (  2)
 318. they/them                                                    (  2)
 319. Seattle Eastside                                             (  2)
 320. Island Of Relevancy                                          (  2)
 321. RURAL PNW, USA                                               (  2)
 322. THE PEOPLES REPUBLIC OF BOISE                                (  2)
 323. Rochester, NY                                                (  2)
 324. Vancouver, Washington                                        (  2)
 325. Maine/USA                                                    (  2)
 326. Tigard, Oregon                                               (  2)
 327. United States of America                                     (  2)
 328. America's Heartland                                          (  2)
 329. $mondiablue cash app                                         (  2)
 330. ShitholeSeattle➡️FreeFlorida🐊                                (  2)
 331. Brisbane, Australia                                          (  2)
 332. The Concrete Jungle                                          (  2)
 333. McMinnville, OR                                              (  2)
 334. New York, NY                                                 (  2)
 335. Mountains                                                    (  2)
 336. PNW                                                          (  2)
 337. Mars                                                         (  2)
 338. Edmonton Alberta                                             (  2)
 339. West(er) than that!                                          (  2)
 340. Nigeria                                                      (  2)
 341. uk                                                           (  2)
 342. DFW area                                                     (  2)
 343. arizona                                                      (  2)
 344. Wa. st. USA                                                  (  1)
 345. Treasure Valley, ID                                          (  1)
 346. In My Barakolypse Bunker                                     (  1)
 347. NorthWest USA                                                (  1)
 348. Sunny Southern California                                    (  1)
 349. Walla Walla, WA                                              (  1)
 350. South Charleston, WV                                         (  1)
 351. Maple Ridge, British Columbia                                (  1)
 352. Santa Cruz, CA                                               (  1)
 353. Somewhere North and West                                     (  1)
 354. Orygun                                                       (  1)
 355. Nashville, TN                                                (  1)
 356. San Francisco                                                (  1)
 357. Earth.                                                       (  1)
 358. Who is 'da hoe'?  You or I?                                  (  1)
 359. Blue Collar Union Misogynist                                 (  1)
 360. Fairfield, ME                                                (  1)
