SAN FRANCISCO - OTHER CITIES (Excluding Top 3)
================================================================================

Top 3 (excluded from list below):
  1. Los Angeles, CA (106)
  2. San Diego, CA (39)
  3. Oakland, CA (27)

================================================================================

Ranks 4-1634 (1631 other cities):

   4. Chicago, IL                                                  ( 25)
   5. Los Angeles                                                  ( 24)
   6. Sacramento, CA                                               ( 20)
   7. Dallas, TX                                                   ( 18)
   8. Dallas                                                       ( 16)
   9. Las Vegas, NV                                                ( 15)
  10. Austin, TX                                                   ( 13)
  11. Houston, TX                                                  ( 12)
  12. Denver, CO                                                   ( 11)
  13. Gotham by the Bay                                            ( 11)
  14. Portland, OR                                                 ( 10)
  15. Los Angeles                                                  ( 10)
  16. Southern California                                          ( 10)
  17. Toronto, Ontario                                             ( 10)
  18. Santa Cruz, CA                                               ( 10)
  19. Phoenix, AZ                                                  (  9)
  20. San Jose, CA                                                 (  9)
  21. Catatonic State                                              (  9)
  22. Seattle, WA                                                  (  8)
  23. United States of America                                     (  8)
  24. Canada                                                       (  8)
  25. New York, NY                                                 (  8)
  26. Atlanta, GA                                                  (  8)
  27. Washington, DC                                               (  8)
  28. South Florida, U.S.A. 🌴🏖️🌊                                   (  8)
  29. Philadelphia, PA                                             (  8)
  30. Berkeley, CA                                                 (  8)
  31. 1114 Peralta St, Oakland, CA                                 (  7)
  32. New York City                                                (  7)
  33. Manhattan, NY                                                (  7)
  34. Northern California                                          (  7)
  35. Silicon Valley                                               (  7)
  36. Eagle, ID                                                    (  7)
  37. Soquel, California, USA                                      (  7)
  38. Venice, Los Angeles                                          (  7)
  39. 4th World Apokolips                                          (  6)
  40.  USA  San Diego                                              (  6)
  41. Vancouver                                                    (  6)
  42. Palo Alto, CA                                                (  6)
  43. Planet Earth                                                 (  6)
  44. NYC                                                          (  6)
  45. Sydney, New South Wales                                      (  6)
  46. Irvine, CA                                                   (  6)
  47. San Diego, California                                        (  6)
  48. Rancho Cucamonga, CA                                         (  6)
  49. Berkeley, CA ↔️ Sacramento, CA                               (  6)
  50. Los Angeles, USA                                             (  5)
  51. Utah                                                         (  5)
  52. India                                                        (  5)
  53. Reasonable, CA                                               (  5)
  54. stolen land                                                  (  5)
  55. NorCal                                                       (  5)
  56. Oakland                                                      (  5)
  57. Orange County, CA                                            (  5)
  58. San Antonio, TX                                              (  5)
  59.  Califórnia  🏔️                                              (  5)
  60. Newport Beach, CA                                            (  5)
  61. Orange County, Ca.                                           (  5)
  62. Brooklyn, NY                                                 (  5)
  63. New Orleans, LA                                              (  5)
  64. Ontario, Canada                                              (  5)
  65. Lincoln, NE                                                  (  5)
  66. Boise, ID                                                    (  5)
  67. 🪐                                                            (  5)
  68. Honolulu, HI                                                 (  5)
  69. The Lost Coast                                               (  5)
  70. San Rafael, CA                                               (  4)
  71. London, England                                              (  4)
  72. Bronx. via Manhattan & Midwest                               (  4)
  73. Occupied Brentwood, CA                                       (  4)
  74. Pale Blue Dot he/they/any                                    (  4)
  75. Mill Valley                                                  (  4)
  76. Petaluma, CA                                                 (  4)
  77. Dallas, Texas                                                (  4)
  78. San Diego                                                    (  4)
  79. Chicago                                                      (  4)
  80. Lots of Sun, USA                                             (  4)
  81. Commiefornia                                                 (  4)
  82. Charlotte, NC                                                (  4)
  83. U.S.                                                         (  4)
  84. Hawaii & California                                          (  4)
  85. Nashville, TN                                                (  4)
  86. Houston                                                      (  4)
  87. Austin, Texas                                                (  4)
  88. SoCal                                                        (  4)
  89. Japan                                                        (  4)
  90. NonProfitVille, CA                                           (  4)
  91. ohlone land                                                  (  4)
  92. SE Asia                                                      (  4)
  93. Flower Mound, TX                                             (  4)
  94. Las Vegas                                                    (  4)
  95. Hell                                                         (  3)
  96. London, United Kingdom                                       (  3)
  97. Mississippi, USA                                             (  3)
  98. Milky Way Galaxy                                             (  3)
  99. Las Vegas, Nevada                                            (  3)
 100. Land of the Democrat Dictators                               (  3)
 101. Richmond, CA                                                 (  3)
 102. Fresno, CA                                                   (  3)
 103. Los Angeles, California                                      (  3)
 104. Utah, USA                                                    (  3)
 105. Oklahoma City, OK                                            (  3)
 106. Clearwater, FL                                               (  3)
 107. Tampa, FL                                                    (  3)
 108. long island city, queens, nyc                                (  3)
 109. Stolen Land, Colorado                                        (  3)
 110. Free, Earth                                                  (  3)
 111. Southern California                                          (  3)
 112. The OC                                                       (  3)
 113. Emeryville, CA                                               (  3)
 114. Montréal, Québec                                             (  3)
 115. Modesto, CA                                                  (  3)
 116. Santa Cruz                                                   (  3)
 117. Seattle-ish                                                  (  3)
 118. CA Mountains                                                 (  3)
 119. Boston, MA                                                   (  3)
 120. Detroit, MI                                                  (  3)
 121. New Mexico                                                   (  3)
 122. Australia                                                    (  3)
 123. Houston, Texas                                               (  3)
 124. Yorba Linda, CA                                              (  3)
 125. Napa, CA                                                     (  3)
 126. St Paul, MN                                                  (  3)
 127. New Hampshire, USA                                           (  3)
 128. Long Beach, CA                                               (  3)
 129. Henderson, NV                                                (  3)
 130. Maine, USA                                                   (  3)
 131. Andromeda                                                    (  3)
 132. Squirrel Hill                                                (  3)
 133. Nairobi, Kenya                                               (  3)
 134. Paris, France                                                (  3)
 135. Emeryville, California                                       (  3)
 136. The ether                                                    (  3)
 137. Boulder, CO                                                  (  3)
 138. Upper West Side                                              (  3)
 139. Walnut Creek, CA                                             (  3)
 140. Arlington, VA                                                (  3)
 141. Progressive Wasteland                                        (  3)
 142. Anywhere USA                                                 (  3)
 143. Manchester, England                                          (  3)
 144. Philadelphia, PA                                             (  3)
 145. Galaxy Trading                                               (  3)
 146. Wherever I go, there I am.                                   (  2)
 147. Earth, Solar System                                          (  2)
 148. Los Angeles, New York                                        (  2)
 149. Arizona , USA, Earth                                         (  2)
 150. Bayonne, NJ                                                  (  2)
 151. California | NYC                                             (  2)
 152. Sarasota, FL                                                 (  2)
 153. Morgan Hill CA                                               (  2)
 154. United Kingdom                                               (  2)
 155. Anytown, USA                                                 (  2)
 156. Central Coast CA, USA                                        (  2)
 157. Boston                                                       (  2)
 158. Washington State                                             (  2)
 159. Salt Lake City, UT                                           (  2)
 160. St Petersburg, FL                                            (  2)
 161. United States of America                                     (  2)
 162. Legal adult she/her                                          (  2)
 163. Orange County, California                                    (  2)
 164. Pecos, NM                                                    (  2)
 165. Alaska, USA                                                  (  2)
 166. San Bernardino, CA                                           (  2)
 167. Buffalo, NY                                                  (  2)
 168. Coronado, CA                                                 (  2)
 169. Minneapolis, MN                                              (  2)
 170. Miami, FL                                                    (  2)
 171. Garden City, NY                                              (  2)
 172. Peace                                                        (  2)
 173. West Palm Beach, FL                                          (  2)
 174. Santa Clara, CA                                              (  2)
 175. Westminster, CO                                              (  2)
 176. Cincinnati, OH                                               (  2)
 177. New Mexico, USA                                              (  2)
 178. Cali, USA                                                    (  2)
 179. Long Island, NY                                              (  2)
 180. Southern California, USA                                     (  2)
 181. Joliet, IL                                                   (  2)
 182. Santa Barbara, CA                                            (  2)
 183. San Mateo, CA                                                (  2)
 184. Chino, CA                                                    (  2)
 185. I STAND WITH AMERICA UNDER GOD                               (  2)
 186. Cambridge, MA                                                (  2)
 187. brooklyn                                                     (  2)
 188. Guadalajara, Jalisco                                         (  2)
 189. Main Street, USA                                             (  2)
 190. new york new york                                            (  2)
 191. Dino’s Treehouse usa                                         (  2)
 192. Murrieta, CA                                                 (  2)
 193. Menifee, CA                                                  (  2)
 194. Ferndale, WA                                                 (  2)
 195. The Free State of Florida                                    (  2)
 196. Oceanside, CA                                                (  2)
 197. Redding, CA                                                  (  2)
 198. Silicon Vallley                                              (  2)
 199. Land of Opportunity                                          (  2)
 200. BC MICH                                                      (  2)
 201. Small town florida 🌴 🌞 🌊                                     (  2)
 202. Victoria, British Columbia                                   (  2)
 203. The great state of Ohio                                      (  2)
 204. California to Mississippi                                    (  2)
 205. Lurking in your head                                         (  2)
 206. 🇺🇸                                                           (  2)
 207. Santa Clarita, CA                                            (  2)
 208. lone star                                                    (  2)
 209. Dallas TX area                                               (  2)
 210. Southern Calfornia                                           (  2)
 211. Melbourne, Victoria                                          (  2)
 212. Fairfield, CT                                                (  2)
 213. Seattle                                                      (  2)
 214. Olympia, WA                                                  (  2)
 215. Long Island NY                                               (  2)
 216. Great State of Texas                                         (  2)
 217. Covington, LA                                                (  2)
 218. Piedmont, CA                                                 (  2)
 219. Louisville, KY                                               (  2)
 220. New Delhi                                                    (  2)
 221. Perry Podcast 7 now on Spotify                               (  2)
 222. 🇺🇸🇬🇧🇬🇭                                                       (  2)
 223. Mars                                                         (  2)
 224. corpus christi, tx                                           (  2)
 225. California || Earth                                          (  2)
 226. Dystopia USA                                                 (  2)
 227. Valencia                                                     (  2)
 228. St Louis, MO                                                 (  2)
 229. S.F.                                                         (  2)
 230. empire state                                                 (  2)
 231. #WinCity☠                                                    (  2)
 232. Hyperamerica                                                 (  2)
 233. Raccoon City                                                 (  2)
 234. Trump Country                                                (  2)
 235. Plant City Florida USA                                       (  2)
 236. Marked safe from all disasters                               (  2)
 237. NYC-JAX                                                      (  2)
 238. Here and There                                               (  2)
 239. Miami, Florida                                               (  2)
 240. The Pacific Northwest                                        (  2)
 241. The Earth                                                    (  2)
 242. Someplace you ain't.                                         (  2)
 243. cornfield mid America                                        (  2)
 244. Ontario                                                      (  2)
 245. Dundee ,Scotland                                             (  2)
 246. India                                                        (  2)
 247. Hamsterdam                                                   (  2)
 248. Valencia, Regne de Valencia                                  (  2)
 249. SONORAN DESERT                                               (  2)
 250. planet earth                                                 (  2)
 251. Scottsdale, AZ                                               (  2)
 252. Ottawa, Ontario                                              (  2)
 253. So Cal                                                       (  2)
 254. Singapore                                                    (  2)
 255. Wallkill,NY                                                  (  2)
 256. PLEASANTON CA.                                               (  2)
 257. American Empire                                              (  2)
 258. Beverly Hills                                                (  2)
 259. Brisbane, Qld, Australia                                     (  2)
 260. Here                                                         (  2)
 261. SoCal, CA                                                    (  2)
 262. Medellin, Colombia                                           (  2)
 263. California born and bred                                     (  2)
 264. Barcelona, Spain                                             (  2)
 265. East Los Angeles, CA                                         (  2)
 266. An orchestra or my litter box.                               (  2)
 267. Orlando, FL                                                  (  2)
 268. Pluto                                                        (  2)
 269. Silicon Valley, CA                                           (  2)
 270. Rocky Mountains                                              (  2)
 271. Occupied Yelamu Territory                                    (  2)
 272. Doesn't  Matter                                              (  1)
 273. Clifton, CO                                                  (  1)
 274. United States of America 🇺🇸                                  (  1)
 275. Taos New Mexico                                              (  1)
 276. •Los Angeles•                                                (  1)
 277. San Marcos, TX                                               (  1)
